["Ok so in like three days or less my crewneck comes in HOPEFULLY", "Arkansas"] 
["Can t wait to get away from Roanoke", "Washington"]
["amen", "Washington"]
["IPT n tech term Idiot meeting run by Deloitte so idiot managers can show off their idiot incompetency by grandstanding for an hour", "Washington"]
["Barbaros u biraz m nc r benim i in eydac m", "Washington"]
["This vid is wacky unexpected and it made me smile and cry at the same time Always had a soft spot for this place", "Washington"]
["fashionpuppy FDR Memorial", "Washington"]
["Felt so good to sleep in", "Washington"]
["thanks lul ma luv is luv", "Washington"]
["ima break every box they try to put me in", "Washington"]
["GW could possibly be preppier than USC like damn was there an after party for lecture at the country club that I didn t get the invite for", "Washington"]
["Critical research on ag waste management Most concerning potential treatments that increase release of EDC", "Washington"]
["Estoy enamorada de Washington", "Washington"]
["don t let those women bring you down They re not at the same level as you You do you sir Carson2020", "Washington"]
["RIP Johan Cruyff", "Washington"]
["ard lets see how many targets you hit", "Washington"]
["Florida for spranggg break", "Washington"]
["We re hiring Click to apply Leasing Consultant Sales milspouse Arlington Virginia Veterans Job Jobs", "Washington"]
["My exes ain t shit fuckem", "Washington"]
["bron the goat", "Washington"]
["While I love the new Wonder Woman image I hope they show a more diverse Themyscira in the film", "Washington"]
["Joy how can you even sit next to him when he says being compared to a pedophile doesn t annoy him", "Washington"]
["Save the Date April 6 amp 7th the HUSD Religion and Science Conference Dr FL Ware is the Host", "Washington"]
["D Cohen I guess I had some very vivid fever dreams then", "Washington"]
["cherryblossoms", "Washington"]
["Chilling with some nice girls at SkyClubWednesdays last night Dmvnightspots Catch me", "Washington"]
["Thanks Bae", "Washington"]
["amen", "Washington"]
["Ii sit back amp watch shit but don t say nothing Ii just laugh", "Washington"]
["Mfs need to grow up", "Washington"]
["money an the power fuck respect ion need it", "Washington"]
["Clinton has the support of 467 superdelegates to 26 for Sanders FeeltheMath SandersDropOut", "Washington"]
["", "Washington"]
["Can you recommend anyone for this job Framing Installed Sales Manager 1714 2T 001 Fredericksburg VA Hiring", "Washington"]
["Except Donald he was the realist", "Washington"]
["It s amazing how it feels when you actually get good sleep", "Washington"]
["CVS Health Healthcare Job Pharmacy Technician Washington DC Jobs Hiring CareerArc", "Washington"]
["this dude smells like cheese puffs", "Washington"]
["Proud to be in DC this week representing at the 2016 Consumer Assembly standing up for Missouri Consumers", "Washington"]
["They gotta know that ain t gone slide", "Washington"]
["dj Football w 1", "Washington"]
["Finally basketball weather", "Washington"]
["Retweet", "Washington"]
["I hate funny acting people", "Washington"]
["I don t have another test until next Tuesday so we ll see", "Washington"]
["So vain almost Friday Washington District of Columbia", "Washington"]
["About time", "Washington"]
["you like shit", "Washington"]
["TheRealest lol he really didn t smh", "Washington"]
["You re such a dick i honestly don t know why I bother", "Washington"]
["I make messes so quickly", "Washington"]
["I will not be surprised if u go and kill ur neighbor for blasphemy Go take ur hatred somewhere else 15", "Washington"]
["Hate when people try to flex like that s so dead man", "Washington"]
["I checked in on those guys and they were playing some party game", "Washington"]
["It sounds really bad when he sings it", "Washington"]
["watching Whoopies face is the show Along with my Democratic Joy", "Washington"]
["u know where i be", "Washington"]
["I see me being republican Lol like NO Stop taking my hard earned coins and making it rain on others", "Washington"]
["Shoutout Freestyle Ides of March", "Washington"]
["", "Washington"]
["PUBLIX JUST ANNOUNCED THAT THEY WANT TO OPEN A NORTHERN VIRGINIA STORE AND I JUST UGLY CRIED WHEN I SAW IT ON THE NEWS", "Washington"]
["Just glad we could help", "Washington"]
["", "Washington"]
["I took a few peeks too", "Washington"]
["difference with Clinton v trump polls is 100 name recognition and negatives already baked in", "Washington"]
["bruh my mother car got towed she never read the damn signs", "Washington"]
["Just landed in DC checks tinder", "Washington"]
["Lincoln ilookup Lincoln Memorial", "Washington"]
["Lach Thanks Anna", "Washington"]
["No one does", "Washington"]
["I swear my eyes are burning right now This damn pollen I hate allergies", "Washington"]
["Can you recommend anyone for this job Pharmacy Technician Part Time PartTime ShortPump VA Retail Hiring", "Washington"]
["Happy birthday to the most loving and bad ass brother out there luv you trent", "Washington"]
["Adulting sucks", "Washington"]
["yes", "Washington"]
["while a stupid idiot technical manager who got his up in 1987 can critique the technical accuracy of POWER POINT SLIDES WITH ERRORS", "Washington"]
["we outrank you in levels of sexiness", "Washington"]
["On the road to success but it s more of a mission", "Washington"]
["Inspire me I dare you", "Washington"]
["when did they drink", "Washington"]
["NRECA Engineering Intern Generation Environment and CO2 Arlington VA university internship nonprofit", "Washington"]
["If you re a Sales professional in Washington DC check out this job Hiring CareerArc", "Washington"]
["Well that explains it", "Washington"]
["Things don t change Cheating Clintons are at it again hillshill WhichHillary ImWithHer FeelTheBern", "Washington"]
["natt", "Washington"]
["hmp", "Washington"]
["mymom amp fala FDR Memorial", "Washington"]
["Is he mad", "Washington"]
["crap that s what i use for my personal account on my computers booo", "Washington"]
["lol i remember these days", "Washington"]
["rose ium omg", "Washington"]
["Can you recommend anyone for this Retail job Washington DC Hiring CareerArc", "Washington"]
["life plz stahhppp I don t wanna go get em but you re making this so hard", "Washington"]
["don t even joke about that", "Washington"]
["Today will be a good day", "Washington"]
["Chris kringel", "Washington"]
["tell em", "Washington"]
["I dont give a shit about your clash of royale or whatever its called", "Washington"]
["Back to sleep", "Washington"]
["Wonder if can donate a few items to my upcoming adult toy party", "Washington"]
["I will be writing about social media next week on my Aloha Author Assistant blog", "Washington"]
["I m on money hard kill", "Washington"]
["when the whole house turn up to Gogo 95 and the pets", "Washington"]
["Haven t in bout 3yrs", "Washington"]
["V Rapper Season soon", "Washington"]
["The last one has me weak", "Washington"]
["finally 18", "Washington"]
["SPECIAL CONCERT ALERT FRIDAY APRIL 22ND WE PROUDLY PRESENT SNOOPDOGG LIVE IN", "Washington"]
["sorry is there something wrong", "Washington"]
["accurate", "Washington"]
["Of course it s only when I get to work", "Washington"]
["calling Bae by their first and middle name to demand attention", "Washington"]
["HB4863 NEW To authorize the President to award the Medal of Honor to Master Sergeant Roddie Edmonds of the Unit", "Washington"]
["Happy birthday Thanks for being the best brother out there amp good luck to you amp", "Washington"]
["", "Washington"]
["Balayage by Bridgett logan14 aveda balayage avedacolor", "Washington"]
["Collaborate w TheGlobalHealthNetwork to stop the spread of ZikaVirus", "Washington"]
["I really want them to show Nubia in the WonderWoman film She is Wonder Woman s sister", "Washington"]
["I think she might just be looking at Donald Face a lot of us make for him", "Washington"]
["I m back Home DC I got my morning juice C Side from juicelifestyle", "Washington"]
["Soooo who do i wanna go see after I leave the doctor", "Washington"]
["Also not sure why the hicks seem to be obsessed with their fast cars like I thought you all were supposed to drive trucks", "Washington"]
["Eleven AM c 1926 repost academic art EdwardHopper neoclassicism Smithsonian s", "Washington"]
["2015 Mahindra mPact XTV 1000L 3 seater Cash 15 538 or 84 months 221 00 1 866 787 2699", "Washington"]
["We re hiring Read about our latest job opening here Inspector Sr SB Richmond District Mecklenburg VA", "Washington"]
["My kids have been working super hard on their projects and community Art Shows so we had a", "Washington"]
["Lmfaoo which makes perfect sense", "Washington"]
["", "Washington"]
["LandonMoss see He knows", "Washington"]
["We found a group of Canadians who are an hour south of Toronto and told them to look you up", "Washington"]
["You should do that", "Washington"]
["", "Washington"]
["Packed house at DCBUYS2016 If your smallbiz is not present come on down and get engaging Photo", "Washington"]
["Let the ocean take me", "Washington"]
["All natural grilled chicken breast artichoke hearts chickpeas roasted grilled menu", "Washington"]
["the drugs they give me confidence im saying what i mean now", "Washington"]
["Students with Internet in their homes have a 6 8 higher graduation rate We need BrigdeTheDataDivide", "Washington"]
["your screen sensitivity is almost out Mine did that you ll probably have to get it fixed before it kills your battery", "Washington"]
["", "Washington"]
["Congrats King Elem DCPS STMathChallenge 2nd place winner Research", "Washington"]
["what u gonna do when i put that pretty thing on you", "Washington"]
["It s my sissy s birthday ayeeee", "Washington"]
["Coach You missed the FT now will you go out with me Emma Only if you ll play me 1 on 1 right now on video pal", "Washington"]
["Right On", "Washington"]
["Want to work at Oracle We re hiring in Columbia MD Click for details IT Job Jobs CareerArc", "Washington"]
["What s good", "Washington"]
["chest", "Washington"]
["I think you just needed to say Ben Carson is on tv again", "Washington"]
["Plot twist Jesus had dreads", "Washington"]
["", "Washington"]
["Moser15 who dis", "Washington"]
["Lmfaooooo fuck you", "Washington"]
["Since his wife is on the show he still profits from your viewership", "Washington"]
["nicole14 happy birthday Jaz Love you have a good one doll", "Washington"]
["I love a back up sub But wassup bro", "Washington"]
["lmfaooo ayooo", "Washington"]
["Happy birthday to my girl ilysm", "Washington"]
["Bruh I m so hungry", "Washington"]
["Love getting to celebrate the birthday girl A certain birthday has", "Washington"]
["VITAFRIDAZE THIS GOODFRIDAY HOSTED BY KENILWORTH KATRINA CIROC", "Washington"]
["Does anyone else think that Nike socks are extremely itchy", "Washington"]
["Yes Please get some new voices", "Washington"]
["We love what this former marine s professor did BlueStarNeighbor", "Washington"]
["Find it hard to believe that Batman v Superman is worse than Paul Blart Mall Cop", "Washington"]
["HUGE congratulations to my old friend joyner for passing her Physician Assistant board exams Seems like undergrad bio was yesterday", "Washington"]
["I feel like going to da club popping some bottles", "Washington"]
["Argentina WCQ", "Washington"]
["elcumplea ero y suahijada FDR Memorial", "Washington"]
["They are annoying", "Washington"]
["", "Washington"]
["Catching subtweets like", "Washington"]
["dj when is signing day for you", "Washington"]
["I said can you pay my bills like O Riley what s good", "Washington"]
["Happy Birthday Cortez it s not a day where I don t think about you I miss you so much and wish you was here", "Washington"]
["CVS Health Healthcare Job Pharmacy Technician Washington DC Jobs Hiring CareerArc", "Washington"]
["I also want them to show Phillipus who was a Chancellor and protector of WonderWoman in the film", "Washington"]
["If your opening question for ratings would have been a foreign policy question we would not have had this race to the bottom", "Washington"]
["my daughter now", "Washington"]
["diss me fah no reason", "Washington"]
["I am pretty sure slavery is illegal", "Washington"]
["15yo girl tried commit suicide in front of her friends Conductor saved her This is your response", "Washington"]
["100 ticket for parking Ridiculous", "Washington"]
["Yo went off the deep end", "Washington"]
["my Spanish teacher asked me who im talking too", "Washington"]
["Howard County General Hospital Enviromental Services Floor Technician DAY Columbia MD Healthcare Job Jobs", "Washington"]
["rightnow widn roadtrippin misssparklepants seeyoulater westvirginia", "Washington"]
["", "Washington"]
["Aspects of religion can def hold people back Are you opposed to only organized religion or any kind of a spiritual life", "Washington"]
["no Just work", "Washington"]
["Join the coordinated ZikaResponse group for collaborative opportunities to advance knowledge and joint partnerships", "Washington"]
["Recent CRE survey by finds significant growth expected in multifamily and healthcare via", "Washington"]
["RaziyahMommy all you need is license and major credit", "Washington"]
["and you beat us in that category i guess we re on equal ground in comparison to fashion", "Washington"]
["amazing how much can change in a year", "Washington"]
["Pokemon Go just started trending with 10192 tweets More trends at trndnl", "Washington"]
["we don t have to discuss that right now but 1 WE aren t ya blowhard 2 Then why don t you shut your pie hole blowhard", "Washington"]
["Wisdom like how to protect molester", "Washington"]
["Midlothian VA Retail Job Retail Manager in Training at hhgregg Jobs Hiring CareerArc", "Washington"]
["This Hospitality job might be a great fit for you Shift Supervisor parttime Washington DC Veterans Hiring", "Washington"]
["Frank i am not gonna loose my friend shaun here at the moment", "Washington"]
["TeamDGS is ready to engage with your local business Visit us at DCBUYS2016 today", "Washington"]
["Lawd", "Washington"]
["I gotta buy my wife one of those white Colts jackets She would look so very fly", "Washington"]
["That shit is really sad Smh rest easy man", "Washington"]
["Apparently everyone in DC is a runner now that its getting warm", "Washington"]
["YES", "Washington"]
["yaya", "Washington"]
["7 Things You Should Do Right After Getting Into A CarAccident Insurance", "Washington"]
["Don t be that nigga rapping for fame go get you a check Lul boy", "Washington"]
["argentina WCQ", "Washington"]
["Fuck off", "Washington"]
["This IT job might be a great fit for you NET MVC Awesome Envrionement amp Benefits NWWashington DC Hiring", "Washington"]
["Just because it s natural doesn t make it appealing if don t shave that shit and gtf on", "Washington"]
["noooooooooooo", "Washington"]
["It s honestly just not my day", "Washington"]
["We had so much fun yesterday Smithsonian s National Zoo and Conservation Biology Institute", "Washington"]
["God daaaaaamn", "Washington"]
["EBOBeardButter", "Washington"]
["I need to know who Steven Baldwin is voting for STOP", "Washington"]
["Water is wet next", "Washington"]
["I know the game", "Washington"]
["httpkevin do this with ur cat", "Washington"]
["our generation wack asf", "Washington"]
["", "Washington"]
["", "Washington"]
["Hulings I m about to get lit", "Washington"]
["that s why my battery be dying so quick OMG", "Washington"]
["aint too much shit that my niggas cant handle", "Washington"]
["Idc about racism", "Washington"]
["", "Washington"]
["kinggeorge george ilovemyfamily chinesecrested bonsack fun With the Boss of Bonsack", "Washington"]
["fry189", "Washington"]
["TrusTED StopTrump WIprimary join with CourageousConservatives and UniteWithCruz on April 5th NeverTrump", "Washington"]
["arts represents Latino arts amp cultures at council meeting and", "Washington"]
["garmos But perhaps they just need an example not to actually buy but the learn from", "Washington"]
["We ouchea FT Pickett", "Washington"]
["And you mean his crimes His sexual offenses against his sisters", "Washington"]
["I m awake", "Washington"]
["So don t waste my time", "Washington"]
["I still support you Frank", "Washington"]
["Off work early it s a good day", "Washington"]
["EBOBeardButter", "Washington"]
["all these niggahs that I done curved", "Washington"]
["VITAFRIDAZE THIS GOODFRIDAY HOSTED BY KENILWORTH KATRINA CIROC", "Washington"]
["Nobody but Cortez could make me irritated and happy like him Man I miss that boy", "Washington"]
["Its so beautiful here", "Washington"]
["TrusTED StopTrump WIprimary join with CourageousConservatives and UniteWithCruz on April 5th NeverTrump", "Washington"]
["Kelly still in Moscpw", "Washington"]
["I feel good", "Washington"]
["exactly a whole 2 baskets", "Washington"]
["Chef Patrick in cancer remission made green eggs amp ham Cancer Not here Not there Not anywhere", "Washington"]
["mann niggas waa out 8 at dis BIG ASS random party on da street Rod n Sheep got fightin but dey both was drunk as shit", "Washington"]
["Why are bikes so heavy I almost just died pulling these things off the ceiling", "Washington"]
["EBOBeardButter", "Washington"]
["I want bands BANDS BANDS BANDS", "Washington"]
["Where do you find all this beauty Seems humans forget that these places exsist but money and war pay better", "Washington"]
["Public shaming is not in their interest", "Washington"]
["my body so sore", "Washington"]
["YES", "Washington"]
["I had weird dreams again", "Washington"]
["Rod was windmillin like a chick me u ceej n troy waa btfu", "Washington"]
["tnola lmfaoooooo", "Washington"]
["Our CmPS students are leading the charge SEL wwprsd stuvoice", "Washington"]
["If you gotta be an asshole to prove your point it wasn t that salient to begin with", "Washington"]
["EBOBeardButter", "Washington"]
["Cash rules everything around me", "Washington"]
["Can t wait to plant some", "Washington"]
["LOL IVE GOTTEN SHOCKED 4 TIMES TODAY", "Washington"]
["elites Would you like to write something", "Washington"]
["And now enplus d avoir faim et sommeil j ai froid why y all turning the damn AC on", "Washington"]
["EBOBeardButter", "Washington"]
["It s an exciting day here at ButlersOrchard Planting HighDensity Apples PYO Gala Cameo PinkLady farm365", "Washington"]
["Adulting in a nutshell is choosing between the job you want that doesn t exactly pay well vs the job you have that does kinda pay well", "Washington"]
["Manuel I can help", "Washington"]
["This Sales job might be a great fit for you Part Time Sales dressbarn Frederick MD Hiring CareerArc", "Washington"]
["at least I m going to two classes today and I m doing the homework for the ones I m missing so", "Washington"]
["D Cohen Totally great to celebrate what s going on today but calling things stagnant rubs me wrong way", "Washington"]
["An Anthology of Turkish Experimental Music 1961 2014 alb m Nisan da Bel ika da SubRosa taraf ndan yay nlanacak", "Washington"]
["Facts", "Washington"]
["It s hard to say who I loathe more Cruz or Trump But let s all agree to lay off spouses children Ok", "Washington"]
["Stop living your nigga life and live yours", "Washington"]
["", "Washington"]
["I cannot stop watching Fixer Upper", "Washington"]
["sounds like you", "Washington"]
["everyone wanna be someone they ain t and its sad", "Washington"]
["I m at Fairfield Inn amp Suites Washington DC Downtown in Washington DC", "Washington"]
["whether you like it or not soulja boy is a hip hop pioneer", "Washington"]
["Whole time they probably just left her cash", "Washington"]
["EBOBeardButter", "Washington"]
["I know I complain a lot", "Washington"]
["road trip", "Washington"]
["Cherry blossoms are very sensitive Like ladies Wise words from my old white male uber driver everyone", "Washington"]
["I am SOOO proud of you", "Washington"]
["awesome pic", "Washington"]
["You could give low income residents kids pre school vouchers", "Washington"]
["D Cohen My ungenerous readings of parts are definitely driven by years of friendships with people though", "Washington"]
["ThatsCorey", "Washington"]
["yeah that test probably won t be my bitch", "Washington"]
["happy birthday Carioti", "Washington"]
["her", "Washington"]
["what s poppin", "Washington"]
["one of these days gone be a great day", "Washington"]
["Teai", "Washington"]
["Forgot to take my allergy medicine I hope i dont die", "Washington"]
["Many thanks for tweet amp thanks to for exemplary work mediarelations media InterviewTips PR news", "Washington"]
["Making some frosting for yesterday s rainbow carrot cake Grilled lemon juice in this bih", "Washington"]
["Autocorrect loves the Wu Tang Clan It automatically completes cash rules everything around me", "Washington"]
["", "Washington"]
["Then you could pay the best pre schools to open up there", "Washington"]
["Mom vibes today", "Washington"]
["I hear you have taken over the playground at LeDroit Park Yes", "Washington"]
["never fails to spice up carpooling People asked for a chicken dinner amp I gave them a live chicken EnoConvergence2016", "Washington"]
["RIP Johan Cruyff", "Washington"]
["I miss Texas man", "Washington"]
["We re hiring Read about our latest job opening here Pharmacy Technician Washington DC Healthcare", "Washington"]
["Graduation why is my tongue out in ALL of these", "Washington"]
["Howard RYS16 Howard RYS16 Howard RYS16 Howard RYS16 Howard RYS16 Howard RYS16 Howard RYS16 Howard RYS16 Howard RYS16", "Washington"]
["me", "Washington"]
["Fuck I m gonna buy wine", "Washington"]
["My man gustard holding it down", "Washington"]
["About Time Many anti violence measures in L America have failed but policymakers are now listening to what works", "Washington"]
["ImSoDC", "Washington"]
["heroine for the cause That bites", "Washington"]
["my lil cousin finna come home bitch its lit", "Washington"]
["", "Washington"]
["give us the shoes and you can have ur daughter back", "Washington"]
["I apologize I was just joking around and didn t mean to be rude or dismissive I apparently was Have a nice day as well", "Washington"]
["In honor of 10YearsOfHannahMontana I will only be listening to Hannah s music today I still luv you Miley daddy17", "Washington"]
["FREE classes new workouts and prizes Don t miss the two Les Mills Launch classes next Tuesday and Thursday", "Washington"]
["", "Washington"]
["the nuclear cockroach is eternal", "Washington"]
["If you don t have a headboard when you go to sleep You need a new job", "Washington"]
["Don t let the Donald get her photos and compare to Ms T", "Washington"]
["It s exciting for all of us to discover history again", "Washington"]
["it s official im delicious", "Washington"]
["world Its time 4 the Governor 2 get on board", "Washington"]
["we finna get rich together", "Washington"]
["NC Republicans Making government just big enough to hang out in your bedrooms and bathrooms checking your junk", "Washington"]
["CareerArc CustomerService Job alert Customer Service Representative hhgregg Midlothian VA Jobs Hiring", "Washington"]
["VOA", "Washington"]
["2015 Mahindra mPact XTV 1000L 3 seater Cash 15 538 or 84 months 221 00 1 866 787 2699", "Washington"]
["VITAFRIDAZE THIS GOODFRIDAY HOSTED BY KENILWORTH KATRINA CIROC", "Washington"]
["Let me go put some Babies in Laurel", "Washington"]
["Going to ride till I die", "Washington"]
["n OUT", "Washington"]
["If doesn t stop this", "Washington"]
["no it s not He committed sex crimes against them and at least one other girl He is a danger to children", "Washington"]
["happy birthday bro have a good one", "Washington"]
["lol y all wild", "Washington"]
["Vamos Argentina WCQ", "Washington"]
["Washington DC Marketing Job Business Transient Sales Manager at Embassy Row Hotel Jobs Hiring CareerArc", "Washington"]
["Excited by s hard work on s The51Million effort this election", "Washington"]
["yes it s so annoying I m like a bug bright lights make my eyes burn Lmao so I knew it wasn t me doing it", "Washington"]
["Trump hasn t done a event for Tues Let s be creative and suggest a few reasons The swelling hasn t gone down since latest plastic surgery", "Washington"]
["Which is better", "Washington"]
["Von MissTink whoa", "Washington"]
["yeah the shit is boring it s like i gotta go into my asshole chamber just to get you to see me", "Washington"]
["RFootball held its first AshEra spring practice today Here s some observations from the fist hour Rutgers", "Washington"]
["Mosul just started trending with 13953 tweets More trends at trndnl", "Washington"]
["sorry nova scotia but i can t wait to feel some warm", "Washington"]
["If you re a Marketing professional in WASHINGTON DC check out this job TheCreativeGroup Hiring", "Washington"]
["I heard it through the grapevine", "Washington"]
["HUD other victim has NOT forgiven The family allowed him to have access to her", "Washington"]
["Spring photo taken a few years back on Easter So sweet Hop into this exciting weekend", "Washington"]
["war is over peace has been returned", "Washington"]
["First Listen Leon Vynehall Rojus", "Washington"]
["Marianne Heinrich plc sharing info on APEC Virtual Working Group on Regulatory Cooperation and upcoming forum", "Washington"]
["", "Washington"]
["Bryant Trick shares info on importance of chemical industry for value chains in APEC more GlobalChem", "Washington"]
["HON Turbo at Fuel Economy Detroit on how Turbo helps OEs reach fuel economy amp emissions targets", "Washington"]
["Ideas for dinner What sides would you prepare to make this a complete meal FoodPorn", "Washington"]
["", "Washington"]
["niggas hot niggas scary", "Washington"]
["All these hoes out here sending nudes to girlfriend boyfriend and the guy is taken like lol you funny 204", "Washington"]
["Gonna vote him out this year Term limited We The People in PA are tired of same old politics", "Washington"]
["i eat my crust", "Washington"]
["Capturing the best bartender around our homie Donnie in action lastnight wednesdayverses", "Washington"]
["Not today please", "Washington"]
["n freegie was jus out dere cryin but yellin mannn why yall fightin dis da 8 dis posed be love n boosted errybody shit", "Washington"]
["its nationalcocktailday", "Washington"]
["", "Washington"]
["I get really uncomfortable explaining who Kate Bush is and then really uncomfortable when others listen to her because of me", "Washington"]
["Sperry Store Manager Arlington VA Retail Job Jobs Hiring CareerArc", "Washington"]
["", "Washington"]
["Beyond broke rn", "Washington"]
["", "Washington"]
["Funny how the only time you smiles is when you re with other girls", "Washington"]
["I just saw it Lol I need to keep that one", "Washington"]
["Lots of work to do broken glass missing gate on big kid side no shade no locks after dark Thx", "Washington"]
["Amtrak CustomerService Job Lead Service Planner 90074042 Washington DC Jobs Hiring CareerArc", "Washington"]
["joyner Still holding you to treating my kids one day if when I move back to NC", "Washington"]
["Smh I needa get it together", "Washington"]
["EnoConvergence2016 challenges of data sharing amp access THISisITSA America", "Washington"]
["when I never seen you eat it", "Washington"]
["My hair needs a good ass washing", "Washington"]
["and forgiveness has nothing to do with criminal charges which they shielded him from", "Washington"]
["Boom savings sales cars hyundai automotive Call me for a once in a life time deal Check it out 4433674100", "Washington"]
["CTTF cc", "Washington"]
["serving techotacos at Stone Center Fredericksburg today bring your whole crew", "Washington"]
["Trying new kind of resin Now woozy from inhaling volatile compounds", "Washington"]
["", "Washington"]
["Shouldn t the automatic response to the Erlichman revelation be freeing those locked up on drug charges and repealing some laws", "Washington"]
["Let yourself feel the pride but Always stay humble and kind", "Washington"]
["is this a Ginger Minj level euphemism", "Washington"]
["This bitch isn t my friend anymore", "Washington"]
["DarkSouls3 Ornstein gets rescued by dark root basin moon cats", "Washington"]
["sometimes I just wanna keep driving and never turn back", "Washington"]
["OffLife man they still making hoodies and long tees its spring time like wtf", "Washington"]
["we will settle this", "Washington"]
["I m soooo ready for Fredo Mafia it s been a minute since he dropped a tape and the last one was all fire", "Washington"]
["In fact the only difference is one s been around longer than the other", "Washington"]
["TrusTED StopTrump WIprimary join with CourageousConservatives and UniteWithCruz on April 5th NeverTrump", "Washington"]
["Welcome Washington District of Columbia", "Washington"]
["Fam forever finally 21 Adam s Morgan DC", "Washington"]
["the two guys were ISI agents chasing Raymond He killed them their families got millions of dollars in diyyat No blasphemy", "Washington"]
["I want bang bang shrimp", "Washington"]
["You would never give me play back then but how bout now", "Washington"]
["Coley just call ya cousin if a bitch try that", "Washington"]
["", "Washington"]
["First Listen Are You Serious", "Washington"]
["Starbucks Hospitality Job Shift Supervisor US Veterans Jobs Hiring CareerArc", "Washington"]
["mekhi why babe", "Washington"]
["RIP Cryuff", "Washington"]
["You re blocked bitch", "Washington"]
["When in Rome er Dupont At least until Cava opens at in Washington DC", "Washington"]
["Casting resin For art Of course", "Washington"]
["me and mag on one thread nohr and hoshido are now peaceful and happy war is over another thread BRING US THE SHOES HOSHIDAN FILTH", "Washington"]
["I know", "Washington"]
["Smh shit wild", "Washington"]
["the end of the day you gotta Do What s Best For You", "Washington"]
["Throwback to our week in Shenandoah last year Doesn t Shelley look smokin I can t wait to go", "Washington"]
["no", "Washington"]
["my screen is new tho it s like they didn t close it all the way", "Washington"]
["Pretty sure I m the only one that s been in VA all week lol", "Washington"]
["Vito 08", "Washington"]
["You get what you give", "Washington"]
["I can t listen to Young Thug on my own But whatever playlist C creates on Tidal including him INSTANTLY grows on me", "Washington"]
["The Most Controversial AI since Iverson", "Washington"]
["Uncle Paulie Is that you", "Washington"]
["ahhh", "Washington"]
["lolove all of it lol", "Washington"]
["just not going to check my bank account", "Washington"]
["Join us on CincoDeMayo to celebrate the opening of our Charlotte office Learn more", "Washington"]
["I m so hungry man like", "Washington"]
["girl I fell asleep lastnight trynna clean my room up Maybe I should finish now", "Washington"]
["Don t you love it when you go to bed at 430am and your dog walker knocks on the door at 830am he s not supposed to come until 830pm", "Washington"]
["Basically", "Washington"]
["Science has never been more important in the development of policy NOAAFish Dpty Admin Fisheries RELPinDC", "Washington"]
["", "Washington"]
["RIP Cruyff Legend", "Washington"]
["Mr Koste was the best part of the fashion show Hands down the best principal L4L", "Washington"]
["Just finished eating now I feel like im full ready to shower amp call it a night", "Washington"]
["amp I asked NSA s Becky Richards if U S surveillance powers would be safe with Trump Hilarity ensued", "Washington"]
["Forever looking like a dumb Ass falling for everybody nigga", "Washington"]
["To the old woman in Georgetown holding up a giant graphic poster of a butchered baby reading abortion please chill", "Washington"]
["Lmfao", "Washington"]
["Hi there Do you already know there s an issue on app TimeToPet Impossible to complete service", "Washington"]
["needs to check his DM s", "Washington"]
["Now I m pissed", "Washington"]
["All this preaching on my timeline need to stop", "Washington"]
["Yesterday a dummy told me that pedophiles are to pretend to be transgender to get in opposite sex bathrooms", "Washington"]
["gibs", "Washington"]
["cuhhh like niggas was ON It was soooo many ppl like cars was on both side da street from where we be posted to tasia crib", "Washington"]
["Try All natural grilled chicken breast artichoke hearts chickpeas roasted red grilled menu", "Washington"]
["Fuckin on the low", "Washington"]
["A very accurate assessment of her doing with Obama foreign policy last 7 yrs no matter what she days now", "Washington"]
["Trina x Fuck Boy", "Washington"]
["HB4865 NEW To ensure the development and responsible stewardship of nanotechnology", "Washington"]
["", "Washington"]
["Mf always know how to get me started up", "Washington"]
["Just posted a photo Manassas National Battlefield Park", "Washington"]
["Ela tem classe n o uma vagabunda Ela tem car cter n o s peito e bunda Narnia", "Washington"]
["Here s proposed budget for DC Education Ward7", "Washington"]
["LeBron treating Cleveland like a ex that took you back and you still being a dog", "Washington"]
["Are you fucking kidding me", "Washington"]
["wow wow wow", "Washington"]
["Don t treat me like a stranger you know I ve seen you naked", "Washington"]
["The most realistic part about is that he she won t follow me back", "Washington"]
["True I believe more people in uniforms are radicalized than general public in Pakistan Radicalization Nationalism", "Washington"]
["i kno some niggas that i fucked they bitch", "Washington"]
["Who 4", "Washington"]
["Lolololololol", "Washington"]
["Today dummies chattin about a MUA sexualizing a child because she themed a style after North West", "Washington"]
["TBT training w at a seminar no shame in tapping repeatedly jiujitsu ufc", "Washington"]
["HAPPY BIRTHDAY TO MY BFF PEYTON thebig40 we re almost birthday buddies", "Washington"]
["from the nice to know BUT who gives a fuck collection Wiz dcRising", "Washington"]
["", "Washington"]
["Montana Successful Medicaid Expansion shouldn t be defined by higher enrollment to qualify for 100 fed match", "Washington"]
["yeaaaa i like Sheep too", "Washington"]
["One of Ray s friend please come get him out my inbox", "Washington"]
["Well I wasn t watching the view but now I am", "Washington"]
["shit i put both my contacts in the same eye", "Washington"]
["he got popular from the Internet and then once he got popular from the Internet he made his money from the Internet", "Washington"]
["This time next week I ll be layin on the beach", "Washington"]
["I CAN ALWAYS TELL THE BITCH IN A NIGGA", "Washington"]
["Electronic Assembler Aerotek UpperMarlboro MD IT Job Jobs Hiring", "Washington"]
["I don t hate it atall", "Washington"]
["You know I stay reminiscing and make up sex is tradition", "Washington"]
["oh was off today wanted to see if you wanted to hang", "Washington"]
["he lowkey genius", "Washington"]
